QR,Prediction (STD)
101171000100001,3.7325988625415105
101171000100002,3.0812474156443543
101171000100003,4.8403261414475285
101171000100004,4.712802987864761
101171000100005,4.082037610861019
101171000100006,3.77802474141701
101171000100007,3.431186328798365
101171000100008,3.396536152628599
101171000100009,2.7946762051955587
101171000100010,1.5590091325462485
101171000100011,2.2336295772056407
101171000100012,2.991916376338062
101171000100013,2.2852910848357295
101171000100014,1.7620404520405697
101171000100015,2.328985654465472
101171000100016,1.3925780289609644
101171000100017,1.518996632651808
101171000100018,3.554111620368439
101171000100019,1.3751893764820546
101171000100020,1.8590907869461053
101171000100021,2.924652756055146
101171000100022,1.964226727838953
101171000100023,1.2497667447282923
101171000100024,3.7586972447368985
101171000100025,2.211455607130071
101171000100026,3.4246660999877796
101171000100027,3.0523879448099644
101171000100028,1.52742713001976
101171000100029,1.0674324641705422
101171000100030,1.5537196059038938
101171000100031,1.4445460403238128
101171000100032,2.74571894331668
101171000100033,2.518451650591495
101171000100034,3.286213951603262
101171000100035,3.097044742641888
101171000100036,1.9596541145438222
101171000100037,6.409670757575204
101171000100038,3.360155347799408
101171000100039,2.608851836811328
101171000100040,0.9706073638841991
101171000100041,4.328106673551725
101171000100042,6.130825026852037
101171000100043,2.587376622329388
101171000100044,3.177013891783607
101171000100045,3.0382908414930463
101171000100046,3.791663261690124
101171000100047,3.110894401181604
101171000100048,3.869607947373075
101171000100049,3.2805775811152706
101171000100050,3.5275392033958415
101171000100051,2.7791642556996825
101171000100052,9.925827224269247
