whitePixels,blobDiameter,nBlobs,diagnostic
162,28.68270182609558,4,0
58,18.0635724067688,3,0
5,3.6131675243377686,1,0
10,6.955438852310181,2,0
123,30.702935218811035,4,0
16,8.626468658447266,2,0
37,14.464397430419922,3,0
91,26.736395359039307,4,0
0,0.0,0,0
14,7.971238136291504,2,0
125,27.686291933059692,4,0
35,8.890987396240234,2,0
64,19.061079502105713,3,0
121,31.535229206085205,4,0
40,13.519459009170532,3,0
58,18.135022163391113,3,0
49,14.531906604766846,3,0
208,30.723725080490112,4,0
104,21.79654359817505,3,0
123,24.79025363922119,3,0
99,17.31199359893799,3,0
76,22.46001648902893,4,0
51,13.9111328125,2,0
48,9.239524841308594,1,0
36,12.400521755218506,2,0
46,11.564454317092896,2,0
39,9.124903678894043,1,0
42,13.706840515136719,3,0
37,11.496108293533325,2,0
47,12.718832969665527,2,0
17,8.61931848526001,2,0
45,9.881609916687012,1,0
83,22.31432008743286,3,0
7,3.971238136291504,1,0
85,9.666293382644653,2,0
61,15.061137199401855,2,0
53,17.108182668685913,3,0
0,0.0,0,0
0,0.0,0,0
38,12.067219734191895,2,0
185,18.695274829864502,3,0
8,4.002221584320068,1,0
0,0.0,0,0
180,23.403695106506348,2,0
33,8.294037818908691,1,0
85,22.204901218414307,3,0
192,24.597436904907227,2,0
33,8.184587478637695,1,0
71,16.262767791748047,2,0
188,23.36173391342163,2,0
39,11.911882638931274,2,0
62,15.043758869171143,2,0
169,22.27730941772461,2,0
35,8.634449005126953,1,0
63,15.291311264038086,2,0
112,28.53686761856079,4,0
0,0.0,0,0
44,15.836050987243652,3,0
123,28.369308948516846,4,0
122,29.623521327972412,4,0
143,32.43919897079468,4,0
73,16.245716094970703,2,0
53,11.20194149017334,2,0
138,21.984142065048218,3,0
78,16.303371906280518,2,0
71,18.02364444732666,3,0
140,18.23916220664978,2,0
15,5.280052661895752,1,0
52,12.708757162094116,2,0
14,5.910877704620361,2,0
36,9.559880495071411,2,0
15,5.405422210693359,1,0
47,13.29420804977417,2,0
242,31.219908714294434,3,0
86,22.39397954940796,3,0
61,17.8828706741333,3,0
258,41.80507183074951,4,0
81,18.827144622802734,3,0
63,19.39337420463562,4,0
14,7.247753858566284,2,0
77,19.0434250831604,3,0
0,0.0,0,0
36,9.559880495071411,2,0
15,5.405422210693359,1,0
47,13.29420804977417,2,0
12,5.099019527435303,1,0
14,5.1918840408325195,1,0
35,11.902726650238037,2,0
17,5.531551361083984,1,0
7,3.971238136291504,1,0
24,10.04431676864624,2,0
238,31.41908550262451,3,0
71,18.2582745552063,3,0
56,19.924880266189575,4,0
122,30.6860990524292,4,0
68,18.995821952819824,3,0
29,10.476410388946533,2,0
146,33.16611433029175,4,0
136,34.22675037384033,4,0
64,18.50443148612976,4,0
145,33.59800910949707,4,0
107,28.740874767303467,4,0
56,14.954757452011108,3,0
79,22.97407555580139,4,0
14,5.065185070037842,1,0
10,4.610671520233154,1,0
179,37.244431495666504,4,0
84,24.145493268966675,4,0
70,22.930805444717407,4,0
144,26.64494228363037,4,0
76,19.89427399635315,4,0
44,15.92819333076477,3,0
59,14.135087490081787,2,0
28,10.785507202148438,2,0
0,0.0,0,0
47,16.142250776290894,3,0
113,17.80272102355957,3,0
88,22.129294872283936,3,0
125,30.062702178955078,4,0
261,29.983891487121582,4,0
79,22.767622470855713,3,0
151,32.67574119567871,4,0
141,30.114729404449463,4,0
111,25.32731008529663,3,0
108,24.779160737991333,4,0
163,34.64760112762451,4,0
128,26.447887182235718,4,0
118,26.372798681259155,4,0
83,21.919984817504883,3,0
0,0.0,0,0
143,34.31104612350464,4,0
82,21.866069793701172,3,0
44,15.862642765045166,3,0
56,16.971524477005005,3,0
126,26.752020359039307,4,0
80,22.02674150466919,3,0
74,24.887904167175293,4,0
48,14.714683055877686,2,0
26,12.295336961746216,3,0
74,25.497119188308716,4,0
50,14.556112289428711,2,0
31,13.441131353378296,3,0
88,27.46825361251831,4,0
66,20.893548488616943,3,0
31,13.972243070602417,3,0
64,22.679880380630493,4,0
53,18.196244955062866,3,0
18,10.755492687225342,3,0
72,24.18653440475464,4,0
28,10.96741247177124,2,0
3,2.9554388523101807,1,0
37,13.61512541770935,3,0
125,23.7612202167511,4,0
121,29.556687355041504,4,0
14,7.505870580673218,2,0
88,23.938828468322754,3,0
117,31.331614017486572,4,0
26,9.92292070388794,2,0
30,10.546285629272461,2,0
38,17.771262645721436,4,0
173,30.884077310562134,4,0
226,26.60921549797058,4,0
119,27.258657455444336,3,0
118,30.073789596557617,4,0
206,21.97739315032959,3,0
79,23.726332187652588,4,0
110,24.42469358444214,4,0
113,25.9329776763916,3,0
92,25.209449768066406,4,0
95,21.437922954559326,3,0
82,24.128401517868042,4,0
0,0.0,0,0
73,23.877202033996582,4,0
43,9.224967002868652,2,0
27,10.352932453155518,2,0
52,16.909929752349854,3,0
113,26.47286081314087,4,0
124,30.63422727584839,4,0
5,3.6131675243377686,1,0
30,10.608078956604004,2,0
8,6.568606376647949,2,0
127,29.071449279785156,4,0
198,24.139082193374634,4,0
98,22.774142742156982,3,0
138,32.58083200454712,4,0
66,22.951683521270752,4,0
95,19.091293334960938,2,0
346,47.28836154937744,4,1
516,44.88298749923706,4,1
203,32.87911796569824,3,1
179,35.38008260726929,4,0
240,40.40572929382324,4,0
134,27.41023588180542,3,0
210,40.05285358428955,4,0
158,34.09888982772827,4,0
46,11.334120988845825,2,0
185,38.23334217071533,4,0
130,26.543164253234863,3,0
28,10.17144513130188,2,0
188,35.42533540725708,4,1
604,61.4846134185791,4,1
283,43.105085372924805,4,1
214,29.82000231742859,4,1
593,60.80775260925293,4,1
316,36.178423166275024,4,1
118,27.151105880737305,3,0
167,31.472273349761963,4,0
162,27.396820545196533,4,0
122,29.69080400466919,4,1
298,46.20793628692627,4,1
326,37.40851402282715,4,1
217,35.15550374984741,4,0
112,18.22034239768982,3,0
167,32.67698001861572,4,0
194,28.72666597366333,3,0
105,23.304808139801025,3,0
152,32.18319749832153,4,0
238,31.149344205856323,4,0
123,26.870488166809082,3,0
165,34.56363534927368,4,0
152,27.417893648147583,4,0
142,27.25127387046814,4,0
154,23.80736255645752,3,0
328,44.77266788482666,4,1
625,63.36657238006592,4,1
442,44.55570387840271,4,1
331,34.211634397506714,4,1
611,49.489702224731445,4,1
491,55.41950798034668,4,1
219,23.495460987091064,3,1
339,30.186089038848877,4,1
358,27.70579171180725,3,1
212,28.941539525985718,4,1
338,32.00734210014343,4,1
352,35.037160873413086,3,1
159,31.20093083381653,4,0
477,53.5247106552124,4,1
290,36.66928195953369,4,1
62,15.576129674911499,3,1
476,45.263838052749634,4,1
266,27.303768157958984,3,1
141,31.724649906158447,4,1
453,42.81677794456482,4,1
311,35.79267859458923,4,1
204,36.63315963745117,4,1
261,29.466251611709595,4,1
305,37.136390209198,4,1
191,36.554643630981445,4,1
195,21.90570592880249,3,1
269,43.2542724609375,4,1
204,26.79360008239746,3,0
40,13.07783317565918,2,0
235,29.705326557159424,3,0
225,29.442718029022217,3,0
53,16.522547006607056,3,0
253,36.58050179481506,4,0
58,16.048519372940063,3,0
25,12.836133480072021,3,0
182,36.9550666809082,4,0
47,16.159382820129395,3,0
62,19.086188316345215,3,0
43,13.134602546691895,2,0
124,27.530454874038696,4,0
136,29.566211223602295,4,0
63,15.274490356445312,2,0
88,18.370525360107422,2,0
12,4.8446149826049805,1,0
99,28.112102270126343,4,0
57,17.310774564743042,3,0
137,27.399997234344482,4,0
62,17.384861707687378,3,0
245,34.833378314971924,4,0
97,25.123053073883057,3,0
8,4.303342342376709,1,0
59,18.684401512145996,3,0
69,18.347391843795776,3,0
232,22.709939002990723,2,0
93,27.248746871948242,4,0
132,12.92703127861023,3,0
40,12.669385194778442,2,0
151,32.576579093933105,4,1
356,41.43219614028931,4,1
134,26.352712154388428,3,1
42,15.55327296257019,3,0
117,30.65580701828003,4,0
57,11.31795883178711,2,0
43,16.053919553756714,3,0
114,28.729498624801636,4,0
64,16.17765522003174,2,0
187,24.470059633255005,3,0
12,4.840382099151611,1,0
196,21.583955764770508,2,0
170,33.09223961830139,4,0
79,23.492298126220703,4,0
68,19.516173362731934,3,0
0,0.0,0,0
3,2.9554388523101807,1,0
66,11.10721492767334,1,0
24,9.708880424499512,2,0
21,8.659381628036499,2,0
67,14.38882827758789,2,0
69,18.668147325515747,3,0
62,18.247210264205933,3,0
70,18.101300954818726,3,0
177,24.046094179153442,3,0
13,5.129790306091309,1,0
181,17.087669372558594,1,0
34,14.22362756729126,3,0
11,7.25878119468689,2,0
173,37.520301818847656,4,0
23,12.527181386947632,3,0
29,13.053012371063232,3,0
26,9.800066471099854,2,0
103,22.715095281600952,3,0
102,23.11249351501465,3,0
52,14.71543264389038,2,0
64,16.91159725189209,2,0
0,0.0,0,0
27,9.626804828643799,2,0
77,17.979458808898926,2,0
370,40.667754888534546,4,0
225,33.472848892211914,4,0
56,20.96634340286255,4,0
284,37.046475648880005,4,0
290,28.297026872634888,4,0
21,9.160591125488281,2,0
291,35.76851272583008,4,0
262,26.55743670463562,4,0
62,19.369530200958252,3,0
99,21.568591356277466,3,0
22,9.384267807006836,2,0
208,26.26557183265686,3,0
58,18.605209827423096,3,0
0,0.0,0,0
11,4.838462829589844,1,0
19,7.942476272583008,2,0
178,12.778292179107666,2,0
0,0.0,0,0
432,50.075692653656006,4,0
309,45.16854000091553,4,0
64,22.31433916091919,4,0
105,21.723909854888916,3,0
5,3.6131675243377686,1,0
67,23.281382083892822,4,0
115,11.749963521957397,2,0
33,11.111936569213867,2,0
54,12.915458917617798,3,0
108,11.139195919036865,2,0
21,4.692133903503418,1,0
124,30.82140064239502,4,1
340,47.7196102142334,4,1
125,25.41205072402954,3,1
219,32.155877113342285,3,0
262,21.901945114135742,3,0
316,46.43560981750488,4,0
113,23.16206693649292,3,0
272,43.52846622467041,4,0
273,34.31762647628784,4,0
13,5.385733127593994,1,0
82,22.72244691848755,3,0
28,12.681666612625122,3,0
126,28.775336027145386,4,0
48,15.727235555648804,3,0
17,6.186944484710693,1,0
8,4.323126316070557,1,0
18,5.703942775726318,1,0
56,14.637193202972412,2,0
88,21.9787917137146,4,0
320,45.75471019744873,4,0
241,42.79050159454346,4,0
28,10.198468208312988,2,0
160,34.22057485580444,4,0
306,46.486449241638184,4,0
61,15.250267505645752,2,0
145,32.42597818374634,4,0
162,34.79386329650879,4,0
94,26.186087131500244,4,0
291,36.81031680107117,4,0
183,30.822917699813843,4,0
95,24.05238389968872,3,0
272,43.91285419464111,4,0
202,30.028593063354492,3,0
103,25.794278621673584,4,0
266,30.855552434921265,4,0
212,33.42686629295349,4,0
141,31.5340633392334,4,0
234,40.500014305114746,4,0
269,42.780784606933594,4,0
75,18.46460723876953,3,0
362,49.0313138961792,4,0
222,39.17252540588379,4,0
6,2.9554388523101807,1,0
250,33.082303524017334,4,0
209,30.782148599624634,4,0
5,3.6131675243377686,1,0
249,35.1665403842926,4,0
222,31.47396445274353,4,0
17,8.457782506942749,2,0
413,48.92075443267822,4,0
268,42.38760471343994,4,0
211,32.29762363433838,4,0
195,36.65483283996582,4,0
258,42.55369758605957,4,0
173,22.84627056121826,2,0
169,32.092713594436646,4,0
254,40.8655481338501,4,0
171,26.93271780014038,3,0
193,29.52889370918274,4,0
246,37.20247220993042,4,0
74,14.461724758148193,2,0
211,38.41526126861572,4,0
216,38.50433158874512,4,0
98,21.56742238998413,3,0
215,38.06121492385864,4,0
225,38.70523166656494,4,0
53,17.297998189926147,3,0
304,38.80120849609375,4,0
292,36.9860405921936,4,0
298,36.89603519439697,4,0
171,34.46911096572876,4,0
284,35.466086626052856,4,0
226,41.37348651885986,4,0
394,29.35227394104004,2,0
162,34.68964624404907,4,0
85,22.147035121917725,3,0
270,28.746893405914307,4,0
203,30.94464683532715,3,0
5,3.6131675243377686,1,0
106,19.119257926940918,2,0
236,38.79138374328613,4,0
21,9.19188404083252,2,0
141,28.844806909561157,4,0
275,43.372318267822266,4,0
22,9.528309345245361,2,0
143,24.497902631759644,4,0
304,45.25348949432373,4,0
34,9.194329738616943,2,0
130,30.284863471984863,4,0
276,43.78279972076416,4,0
37,11.355813980102539,2,0
164,30.97510862350464,4,0
296,44.26425743103027,4,0
15,8.223839044570923,2,0
137,31.05316925048828,4,0
273,42.96544933319092,4,0
29,10.576976299285889,2,0
151,32.59585952758789,4,0
286,43.36408233642578,4,0
73,17.135945796966553,2,0
167,32.220051288604736,4,0
128,32.23750638961792,4,0
48,15.73071813583374,3,0
243,33.05085492134094,4,0
166,34.1880145072937,4,0
60,19.60711359977722,4,0
258,42.50979995727539,4,0
183,30.555026054382324,4,0
84,16.744621515274048,3,0
215,39.93138027191162,4,0
215,32.03443932533264,4,0
48,12.76871657371521,3,0
282,42.21086597442627,4,0
260,40.11971855163574,4,0
256,33.20284867286682,4,0
129,27.646848678588867,3,0
229,40.460187911987305,4,0
206,40.224547386169434,4,0
312,30.928032398223877,4,0
155,19.84279775619507,3,0
64,14.902196884155273,2,0
74,15.614419937133789,2,0
37,11.016931533813477,2,0
217,39.2029914855957,4,0
204,28.282527208328247,4,0
181,27.1240713596344,4,0
380,40.04592227935791,4,0
315,35.88109302520752,3,0
288,30.32870888710022,4,0
345,39.74753975868225,4,0
85,25.285337209701538,4,0
293,37.067877769470215,4,0
332,17.989434480667114,3,0
282,43.929619789123535,4,0
281,36.86433386802673,4,0
364,37.200825929641724,4,0
273,38.83816337585449,4,0
242,33.751646280288696,4,0
392,23.942726135253906,4,0
204,28.784987926483154,4,0
199,38.37300491333008,4,0
256,34.028013706207275,4,0
355,47.82618427276611,4,0
201,39.28236675262451,4,0
275,39.63963031768799,4,1
159,29.18584132194519,4,1
386,48.615949630737305,4,1
113,28.313753366470337,4,1
95,23.714266300201416,4,1
212,38.083627223968506,4,1
46,10.333246231079102,2,0
62,14.848538875579834,2,0
22,9.530596733093262,2,0
196,31.675280332565308,4,0
192,36.835848808288574,4,0
135,24.031129837036133,4,0
321,29.56968355178833,4,0
278,44.36652183532715,4,0
286,28.753103256225586,3,0
307,33.127432107925415,4,1
67,17.091418743133545,3,1
169,32.2009711265564,4,1
293,35.995420932769775,4,0
41,17.311429500579834,4,0
256,34.886966705322266,4,0
288,34.754640340805054,4,0
249,41.80662822723389,4,0
239,40.358829498291016,4,0
304,34.48341488838196,4,0
247,36.47024631500244,4,0
206,28.632320404052734,4,0
310,44.996517181396484,4,0
165,33.853503704071045,4,0
150,32.48281478881836,4,0
169,23.345866680145264,3,0
246,41.658864974975586,4,0
135,31.602290153503418,4,0
216,28.780580282211304,4,0
186,37.19081401824951,4,0
238,41.071003913879395,4,0
152,32.468101501464844,4,1
206,27.88517475128174,4,1
277,16.697070121765137,4,1
280,41.665419578552246,4,1
160,27.89351987838745,3,1
378,39.95465970039368,4,1
112,25.721192836761475,3,1
107,21.73940944671631,4,1
180,35.11954116821289,4,1
126,26.076215744018555,3,1
108,24.343929052352905,4,1
204,26.77595615386963,3,1
313,35.11149477958679,4,1
77,22.990205764770508,4,1
221,38.66114521026611,4,1
134,32.15765047073364,4,1
128,26.28470230102539,4,1
310,35.20322942733765,4,1
93,27.383328199386597,4,1
273,32.718599796295166,4,1
359,40.86098098754883,4,1
387,40.85112142562866,4,1
162,36.47685718536377,4,1
222,27.02266526222229,4,1
236,42.43885803222656,4,1
93,22.396822214126587,3,1
241,40.710638999938965,4,1
182,28.322084188461304,4,0
90,22.859386444091797,3,0
245,24.665663242340088,4,0
144,14.492894411087036,2,0
171,36.4832558631897,4,0
219,34.23074150085449,4,0
92,26.82343578338623,4,1
171,34.186646938323975,4,1
179,29.30731749534607,4,1
77,22.766797065734863,4,1
76,20.486992120742798,3,1
274,32.859267234802246,4,1
42,16.562544345855713,3,1
179,24.592609167099,4,1
283,43.07030200958252,4,1
336,36.926958084106445,4,1
125,31.354392051696777,4,1
164,34.04169702529907,4,1
191,39.742881774902344,4,1
43,13.90429401397705,2,1
180,36.62372970581055,4,1
102,29.121679067611694,4,0
5,3.594604969024658,1,0
168,17.495250463485718,3,0
109,27.99470353126526,4,1
93,23.592354774475098,3,1
384,49.90792179107666,4,1
402,51.182387351989746,4,1
162,31.58031463623047,4,1
320,40.31674575805664,4,1
290,26.102839469909668,4,1
154,22.375948667526245,3,1
435,23.816548347473145,4,1
181,20.869023323059082,4,0
182,26.579721689224243,4,0
370,33.90886116027832,4,0
501,40.543784618377686,4,1
229,35.664915561676025,4,1
478,46.87671518325806,4,1
213,33.75826621055603,4,1
194,31.99511957168579,4,1
55,11.684054851531982,3,1
523,39.4513680934906,4,1
312,27.11758327484131,4,1
361,31.951507091522217,4,1
437,52.67895793914795,4,1
234,40.79849815368652,4,1
343,37.980931997299194,4,1
66,20.392571926116943,3,1
215,22.789633989334106,4,1
318,44.989577293395996,4,1
153,26.952630043029785,4,0
70,16.4597384929657,3,0
213,19.527058839797974,3,0
126,29.875070095062256,4,0
56,20.374459981918335,4,0
180,19.20940351486206,3,0
42,15.383898735046387,3,1
206,27.962051391601562,4,1
302,33.18992757797241,4,1
52,17.56758737564087,3,1
184,25.69221258163452,4,1
254,41.590932846069336,4,1
120,26.01346254348755,3,1
74,20.606137990951538,4,1
194,36.68228530883789,4,1
29,12.940498113632202,3,1
202,25.787452220916748,4,1
263,41.828941822052,4,1
158,27.79229736328125,3,0
161,34.53241443634033,4,0
212,39.13294267654419,4,0
368,39.67823934555054,4,1
138,30.112337589263916,4,1
173,26.930508852005005,4,1
