blobs,totalWhitePixels,distanceQ1,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,solidity1,distanceQ2,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,solidity2,distanceQ3,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,solidity3,distanceQ4,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,solidity4,diagnostic
4.0,197.0,45.34313619501854,11.0,12.828427076339722,4.123105625617661,3.605551275463989,1.0,45.254833995939045,39.5,27.899494647979736,8.06225774829855,9.848857801796104,0.8404255319148937,43.86342439892262,45.5,25.899494647979736,7.0710678118654755,9.433981132056603,0.9680851063829787,43.139309220245984,39.5,25.899494767189026,9.055385138137417,6.0,0.9518072289156626,1.0
3.0,370.0,42.44997055358225,112.0,50.627416491508484,13.038404810405298,16.278820596099706,0.7832167832167832,0.0,0.0,0.0,0.0,0.0,0.0,40.36087214122113,123.0,45.11269772052765,15.132745950421556,14.0,0.9283018867924528,43.139309220245984,47.5,30.727921843528748,10.198039027185569,7.0710678118654755,0.8796296296296297,1.0
4.0,380.0,43.86342439892262,87.5,36.38477599620819,10.04987562112089,12.36931687685298,0.9459459459459459,43.840620433565945,47.5,27.899494647979736,9.219544457292887,9.219544457292887,0.9313725490196079,43.86342439892262,56.0,32.14213526248932,10.04987562112089,10.295630140987,0.8549618320610687,41.012193308819754,96.5,40.041630268096924,14.035668847618199,11.045361017187261,0.9323671497584541,1.0
4.0,209.0,45.254833995939045,52.0,30.14213538169861,9.848857801796104,9.0,0.9122807017543859,46.010868281309364,34.5,23.899494647979736,7.211102550927978,9.433981132056603,0.9452054794520548,44.68780594300866,13.0,14.828427076339722,4.47213595499958,4.123105625617661,0.9285714285714286,43.139309220245984,51.0,28.14213538169861,8.54400374531753,9.0,0.9714285714285714,1.0
3.0,230.0,43.139309220245984,92.5,39.2132031917572,11.045361017187261,13.341664064126334,0.9024390243902439,44.553338819890925,53.0,30.14213538169861,8.54400374531753,11.180339887498949,0.9298245614035088,44.553338819890925,35.5,24.72792160511017,8.06225774829855,9.433981132056603,0.922077922077922,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,340.0,44.553338819890925,67.5,31.55634880065918,10.198039027185569,9.055385138137417,0.9712230215827338,43.139309220245984,62.0,32.14213526248932,10.44030650891055,9.848857801796104,0.9117647058823529,43.86342439892262,55.0,29.313708186149597,9.219544457292887,10.0,0.9322033898305084,42.42640687119285,69.5,41.21320295333862,11.180339887498949,11.180339887498949,0.7897727272727273,1.0
4.0,248.0,45.254833995939045,56.5,30.727921843528748,9.486832980505138,9.0,0.9262295081967213,43.18564576337837,70.0,36.97056221961975,10.44030650891055,11.704699910719626,0.8383233532934131,44.598206241955516,21.0,17.656854152679443,5.385164807134504,6.4031242374328485,0.9767441860465116,43.278170016764804,33.5,23.071067571640015,8.0,7.0710678118654755,1.0,0.0
4.0,507.0,45.27692569068709,52.0,29.313708186149597,9.055385138137417,8.246211251235321,0.9285714285714286,38.897300677553446,173.0,56.76955282688141,18.110770276274835,18.0,0.8628428927680798,44.598206241955516,49.5,28.727921724319458,9.486832980505138,9.433981132056603,0.908256880733945,38.897300677553446,140.5,48.52691161632538,16.0312195418814,15.524174696260024,0.9304635761589404,1.0
4.0,371.0,44.598206241955516,71.0,32.14213514328003,9.219544457292887,10.44030650891055,0.9726027397260274,44.553338819890925,64.0,32.14213514328003,9.219544457292887,11.180339887498949,0.927536231884058,42.44997055358225,85.0,37.79898953437805,11.0,12.165525060596439,0.8994708994708994,42.42640687119285,55.0,32.485281229019165,8.0,9.433981132056603,0.9401709401709402,1.0
4.0,169.0,46.69047011971501,21.5,19.071067690849304,6.708203932499369,5.0990195135927845,0.9555555555555556,45.27692569068709,27.5,21.071067690849304,6.324555320336759,7.810249675906654,0.9322033898305084,43.840620433565945,56.5,30.727921724319458,9.486832980505138,10.295630140987,0.9112903225806451,44.68780594300866,8.5,11.41421353816986,3.0,3.605551275463989,1.0,1.0
4.0,340.0,44.553338819890925,61.5,31.55634880065918,10.04987562112089,9.0,0.9318181818181818,45.27692569068709,41.0,26.14213538169861,8.602325267042627,10.295630140987,0.9534883720930233,41.036569057366385,120.0,46.284271240234375,15.132745950421556,14.0,0.8856088560885609,43.139309220245984,45.0,28.14213538169861,8.94427190999916,9.055385138137417,0.9,1.0
4.0,351.0,44.553338819890925,70.0,31.798989415168762,10.44030650891055,10.04987562112089,0.9790209790209791,42.44997055358225,99.0,38.62741661071777,12.0,12.165525060596439,0.9519230769230769,43.840620433565945,65.5,32.3847758769989,9.486832980505138,11.40175425099138,0.9357142857142857,43.840620433565945,48.5,29.55634891986847,9.433981132056603,10.0,0.8899082568807339,1.0
