,areaQ1,areaQ2,areaQ3,areaQ4,blobs,contourEdgesQ1,contourEdgesQ2,contourEdgesQ3,contourEdgesQ4,diagnostic,distanceQ1,distanceQ2,distanceQ3,distanceQ4,marker,perimeterQ1,perimeterQ2,perimeterQ3,perimeterQ4
829,16.0,6.5,51.0,0.0,3.0,5.0,6.0,6.0,0.0,N,44.598206241955516,45.27692569068709,41.72529209005013,-1.0,CFP10,20.485281229019165,10.242640614509583,28.14213526248932,0.0
830,12.0,0.0,15.0,27.5,3.0,4.0,0.0,5.0,6.0,N,44.598206241955516,-1.0,44.553338819890925,44.553338819890925,RV1681,16.485281109809875,0.0,16.485281109809875,21.071067571640015
831,21.0,0.0,24.0,37.5,3.0,5.0,0.0,6.0,5.0,N,44.553338819890925,-1.0,44.553338819890925,43.139309220245984,ESAT6,20.485281229019165,0.0,20.485281229019165,23.55634891986847
832,7.5,0.0,8.0,0.0,2.0,7.0,0.0,6.0,0.0,N,45.34313619501854,-1.0,44.553338819890925,-1.0,CFP10,10.242640614509583,0.0,10.828427076339722,0.0
833,33.0,3.0,5.5,0.0,3.0,5.0,6.0,5.0,0.0,N,43.840620433565945,45.34313619501854,45.254833995939045,-1.0,RV1681,24.14213538169861,6.828427076339722,10.242640614509583,0.0
834,0.0,22.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,N,-1.0,44.553338819890925,-1.0,-1.0,ESAT6,0.0,21.313708305358887,0.0,0.0
835,16.0,99.5,10.0,0.0,3.0,5.0,5.0,6.0,0.0,N,45.254833995939045,39.59797974644666,43.278170016764804,-1.0,CFP10,18.485281229019165,53.35533857345581,15.656854033470154,0.0
836,0.0,6.5,0.0,0.0,1.0,0.0,6.0,0.0,0.0,N,-1.0,45.27692569068709,-1.0,-1.0,RV1681,0.0,17.071067690849304,0.0,0.0
837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,ESAT6,0.0,0.0,0.0,0.0
841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
843,3.0,47.0,5.0,0.0,3.0,6.0,4.0,6.0,0.0,N,44.553338819890925,42.42640687119285,43.86342439892262,-1.0,ESAT6,6.828427076339722,30.97056245803833,8.828427076339722,0.0
844,21.5,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,N,43.86342439892262,-1.0,-1.0,-1.0,CFP10,19.899494767189026,0.0,0.0,0.0
845,0.0,18.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,N,-1.0,43.840620433565945,-1.0,-1.0,RV1681,0.0,17.656854152679443,0.0,0.0
846,5.0,4.0,0.0,44.5,3.0,6.0,5.0,0.0,5.0,N,43.93176527297759,45.34313619501854,-1.0,42.42640687119285,ESAT6,8.828427076339722,8.828427076339722,0.0,26.727921843528748
847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,CFP10,0.0,0.0,0.0,0.0
848,0.0,28.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,N,-1.0,43.139309220245984,-1.0,-1.0,RV1681,0.0,27.313708305358887,0.0,0.0
849,0.0,12.5,5.0,47.0,3.0,0.0,4.0,6.0,7.0,N,-1.0,43.86342439892262,43.840620433565945,42.42640687119285,ESAT6,0.0,15.071067690849304,17.656854152679443,31.313708305358887
850,21.5,13.0,0.0,3.5,3.0,6.0,5.0,0.0,5.0,N,44.553338819890925,44.553338819890925,-1.0,44.598206241955516,CFP10,21.899494767189026,16.485281229019165,0.0,7.414213538169861
851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,-1.0,-1.0,-1.0,-1.0,RV1681,0.0,0.0,0.0,0.0
852,23.5,0.0,4.0,0.0,2.0,6.0,0.0,8.0,0.0,N,42.44997055358225,-1.0,42.44997055358225,-1.0,ESAT6,21.899494767189026,0.0,10.828427076339722,0.0
