blobs,distanceQ1,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,distanceQ2,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,distanceQ3,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,distanceQ4,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,diagnostic
4.0,46.69047011971501,25.0,21.313708305358887,7.615773105863909,6.324555320336759,45.27692569068709,44.0,30.97056233882904,8.54400374531753,10.770329614269007,44.598206241955516,39.5,24.727921843528748,8.54400374531753,9.219544457292887,42.44997055358225,42.5,32.3847758769989,11.180339887498949,7.280109889280518,1.0
2.0,42.44997055358225,97.5,46.041630029678345,12.041594578792296,15.524174696260024,0.0,0.0,0.0,0.0,0.0,40.36087214122113,123.0,45.11269772052765,15.132745950421556,14.0,0.0,0.0,0.0,0.0,0.0,1.0
4.0,43.139309220245984,103.0,53.11269819736481,17.029386365926403,12.36931687685298,44.553338819890925,49.5,28.727921843528748,10.04987562112089,9.899494936611665,44.598206241955516,50.0,32.97056233882904,10.04987562112089,10.295630140987,41.72529209005013,79.5,34.041630148887634,11.180339887498949,11.045361017187261,1.0
4.0,45.967379738244816,40.5,27.55634903907776,9.848857801796104,8.246211251235321,45.27692569068709,39.5,27.899494767189026,8.06225774829855,10.295630140987,43.278170016764804,8.5,11.41421353816986,3.0,3.605551275463989,43.139309220245984,48.0,28.97056257724762,9.848857801796104,9.219544457292887,1.0
3.0,43.139309220245984,94.0,46.62741661071777,12.0,15.524174696260024,44.553338819890925,54.5,31.55634868144989,9.848857801796104,11.180339887498949,45.27692569068709,28.0,22.485281109809875,6.708203932499369,8.602325267042627,0.0,0.0,0.0,0.0,0.0,1.0
4.0,44.553338819890925,66.0,30.97056257724762,9.486832980505138,10.04987562112089,44.553338819890925,49.0,26.97056233882904,8.54400374531753,9.848857801796104,43.86342439892262,52.5,30.727921843528748,9.0,10.295630140987,41.036569057366385,85.0,55.11269760131836,12.0,16.278820596099706,1.0
3.0,45.967379738244816,56.0,29.798989295959473,10.770329614269007,9.219544457292887,43.86342439892262,65.5,36.38477611541748,11.180339887498949,11.40175425099138,0.0,0.0,0.0,0.0,0.0,43.93176527297759,28.0,22.485281109809875,8.06225774829855,5.0990195135927845,0.0
3.0,45.967379738244816,53.5,30.384775757789612,10.295630140987,10.198039027185569,0.0,0.0,0.0,0.0,0.0,44.598206241955516,47.0,30.14213538169861,10.198039027185569,10.0,38.897300677553446,141.0,51.11269736289978,16.0312195418814,16.278820596099706,1.0
4.0,44.598206241955516,56.5,29.55634891986847,8.0,10.04987562112089,43.86342439892262,65.5,33.55634880065918,9.848857801796104,11.704699910719626,42.44997055358225,76.0,35.79898953437805,11.0,11.40175425099138,43.840620433565945,51.5,29.55634891986847,9.486832980505138,9.055385138137417,1.0
3.0,46.69047011971501,26.0,20.485281109809875,7.280109889280518,5.0,45.967379738244816,28.5,21.899494647979736,7.615773105863909,8.48528137423857,43.840620433565945,52.5,29.55634868144989,9.486832980505138,10.295630140987,0.0,0.0,0.0,0.0,0.0,1.0
4.0,45.967379738244816,61.0,35.79898941516876,11.40175425099138,10.04987562112089,45.967379738244816,37.0,25.313708186149597,8.06225774829855,10.0,41.036569057366385,113.5,46.870057344436646,15.132745950421556,14.0,43.139309220245984,43.0,30.142135500907898,9.486832980505138,9.055385138137417,1.0
4.0,44.553338819890925,67.0,31.798989415168762,10.44030650891055,10.04987562112089,42.44997055358225,94.0,37.455843925476074,12.0,12.165525060596439,43.840620433565945,67.5,35.21320295333862,9.486832980505138,12.165525060596439,43.840620433565945,42.5,29.55634903907776,9.433981132056603,10.04987562112089,1.0
4.0,44.553338819890925,71.0,40.627416491508484,13.038404810405298,10.0,46.69047011971501,25.0,20.485281109809875,6.708203932499369,8.48528137423857,44.553338819890925,60.5,32.3847758769989,10.198039027185569,10.770329614269007,43.93176527297759,12.5,14.242640614509583,4.123105625617661,4.0,1.0
4.0,41.012193308819754,144.0,51.11269795894623,16.1245154965971,16.492422502470642,38.897300677553446,181.5,61.012192606925964,19.026297590440446,19.026297590440446,43.86342439892262,62.0,37.79898965358734,9.486832980505138,12.36931687685298,39.6232255123179,147.0,49.94112539291382,16.1245154965971,16.278820596099706,1.0
4.0,44.598206241955516,47.5,34.38477611541748,9.433981132056603,11.045361017187261,43.139309220245984,85.0,42.28427076339722,13.038404810405298,12.165525060596439,42.44997055358225,93.0,36.62741661071777,11.0,12.165525060596439,43.86342439892262,34.5,26.727921843528748,9.055385138137417,6.324555320336759,1.0
3.0,0.0,0.0,0.0,0.0,0.0,45.967379738244816,16.5,17.071067571640015,5.385164807134504,7.0710678118654755,43.139309220245984,24.0,30.485281229019165,5.385164807134504,9.486832980505138,43.93176527297759,17.0,15.656854152679443,4.0,5.0990195135927845,1.0
4.0,42.42640687119285,92.5,48.041630029678345,16.1245154965971,11.180339887498949,39.59797974644666,163.5,68.18376553058624,19.026297590440446,19.026297590440446,43.86342439892262,64.0,33.79898941516876,9.219544457292887,11.40175425099138,39.59797974644666,129.5,49.69848453998566,15.033296378372908,16.278820596099706,1.0
4.0,43.86342439892262,69.0,36.14213538169861,8.94427190999916,13.341664064126334,40.311288741492746,131.5,61.35533857345581,18.110770276274835,18.0,45.34313619501854,8.5,11.41421353816986,3.0,4.242640687119285,43.93176527297759,17.5,16.242640614509583,4.123105625617661,5.385164807134504,1.0
