totalWhitePixels,distanceQ1,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,distanceQ2,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,distanceQ3,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,distanceQ4,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,diagnostic
213.0,45.967379738244816,22.0,20.485281109809875,7.615773105863909,5.0990195135927845,44.553338819890925,37.0,27.313708186149597,8.06225774829855,9.848857801796104,44.598206241955516,37.5,22.72792160511017,7.0710678118654755,8.06225774829855,43.139309220245984,44.5,28.727921724319458,10.198039027185569,7.280109889280518,1.0
319.0,43.139309220245984,93.0,43.455843567848206,12.041594578792296,13.601470508735444,0.0,0.0,0.0,0.0,0.0,40.36087214122113,116.0,43.1126971244812,14.142135623730951,14.0,43.840620433565945,34.0,25.313708186149597,8.54400374531753,7.280109889280518,1.0
351.0,43.139309220245984,82.0,35.79898953437805,11.0,11.40175425099138,44.553338819890925,49.0,28.14213502407074,9.219544457292887,9.433981132056603,43.86342439892262,56.5,32.38477563858032,10.04987562112089,9.848857801796104,41.012193308819754,71.0,32.97056233882904,10.04987562112089,10.198039027185569,1.0
183.0,45.967379738244816,43.0,26.142135500907898,8.54400374531753,8.06225774829855,45.27692569068709,34.5,25.899494767189026,8.06225774829855,10.0,0.0,0.0,0.0,0.0,0.0,42.42640687119285,52.5,29.55634891986847,9.848857801796104,9.055385138137417,1.0
231.0,43.139309220245984,86.5,40.041629910469055,11.0,13.601470508735444,44.553338819890925,46.0,30.97056221961975,8.94427190999916,10.770329614269007,45.27692569068709,33.0,23.313708186149597,8.06225774829855,9.219544457292887,0.0,0.0,0.0,0.0,0.0,1.0
308.0,44.553338819890925,56.0,28.14213538169861,9.219544457292887,8.06225774829855,44.553338819890925,44.0,25.313708186149597,8.54400374531753,9.219544457292887,43.86342439892262,53.5,29.55634880065918,9.055385138137417,9.848857801796104,41.036569057366385,77.0,53.455843687057495,11.0,16.278820596099706,1.0
189.0,45.254833995939045,49.5,29.55634880065918,9.219544457292887,9.055385138137417,43.18564576337837,59.0,33.79898941516876,9.219544457292887,11.180339887498949,0.0,0.0,0.0,0.0,0.0,43.278170016764804,28.5,23.899494647979736,8.0,7.0710678118654755,0.0
480.0,45.967379738244816,42.5,26.727921843528748,8.94427190999916,8.0,38.897300677553446,162.0,56.76955258846283,17.029386365926403,18.0,44.598206241955516,38.5,26.727921724319458,8.246211251235321,9.433981132056603,39.59797974644666,133.5,47.69848442077637,15.0,15.524174696260024,1.0
309.0,44.598206241955516,55.0,28.14213526248932,7.615773105863909,10.0,43.86342439892262,51.0,30.14213538169861,7.615773105863909,11.40175425099138,42.44997055358225,76.5,36.3847758769989,11.0,11.40175425099138,43.840620433565945,35.5,27.071067571640015,7.615773105863909,8.06225774829855,1.0
160.0,46.69047011971501,25.5,21.899494767189026,7.615773105863909,6.324555320336759,45.27692569068709,21.5,19.071067571640015,6.324555320336759,7.810249675906654,44.553338819890925,43.0,27.313708186149597,8.06225774829855,9.433981132056603,44.68780594300866,8.5,11.41421353816986,3.0,3.605551275463989,1.0
