totalWhitePixels,areaQ1,perimeterQ1,verticalDiagQ1,horizontalDiagQ1,areaQ2,perimeterQ2,verticalDiagQ2,horizontalDiagQ2,areaQ3,perimeterQ3,verticalDiagQ3,horizontalDiagQ3,areaQ4,perimeterQ4,verticalDiagQ4,horizontalDiagQ4,diagnostic
213.0,22.0,20.485281109809875,7.615773105863909,5.0990195135927845,37.0,27.313708186149597,8.06225774829855,9.848857801796104,37.5,22.72792160511017,7.0710678118654755,8.06225774829855,44.5,28.727921724319458,10.198039027185569,7.280109889280518,1.0
319.0,93.0,43.455843567848206,12.041594578792296,13.601470508735444,0.0,0.0,0.0,0.0,116.0,43.1126971244812,14.142135623730951,14.0,34.0,25.313708186149597,8.54400374531753,7.280109889280518,1.0
363.0,84.5,36.38477599620819,11.0,11.40175425099138,49.0,28.14213502407074,9.219544457292887,9.433981132056603,57.5,31.5563485622406,10.04987562112089,9.848857801796104,75.0,34.97056221961975,11.0,10.44030650891055,1.0
183.0,43.0,26.142135500907898,8.54400374531753,8.06225774829855,34.5,25.899494767189026,8.06225774829855,10.0,0.0,0.0,0.0,0.0,52.5,29.55634891986847,9.848857801796104,9.055385138137417,1.0
231.0,86.5,40.041629910469055,11.0,13.601470508735444,46.0,30.97056221961975,8.94427190999916,10.770329614269007,33.0,23.313708186149597,8.06225774829855,9.219544457292887,0.0,0.0,0.0,0.0,1.0
308.0,56.0,28.14213538169861,9.219544457292887,8.06225774829855,44.0,25.313708186149597,8.54400374531753,9.219544457292887,53.5,29.55634880065918,9.055385138137417,9.848857801796104,77.0,53.455843687057495,11.0,16.278820596099706,1.0
189.0,49.5,29.55634880065918,9.219544457292887,9.055385138137417,59.0,33.79898941516876,9.219544457292887,11.180339887498949,0.0,0.0,0.0,0.0,28.5,23.899494647979736,8.0,7.0710678118654755,0.0
480.0,42.5,26.727921843528748,8.94427190999916,8.0,162.0,56.76955258846283,17.029386365926403,18.0,38.5,26.727921724319458,8.246211251235321,9.433981132056603,133.5,47.69848442077637,15.0,15.524174696260024,1.0
309.0,55.0,28.14213526248932,7.615773105863909,10.0,51.0,30.14213538169861,7.615773105863909,11.40175425099138,76.5,36.3847758769989,11.0,11.40175425099138,35.5,27.071067571640015,7.615773105863909,8.06225774829855,1.0
157.0,25.5,21.899494767189026,7.615773105863909,6.324555320336759,21.5,19.071067571640015,6.324555320336759,7.810249675906654,43.0,27.313708186149597,8.06225774829855,9.433981132056603,8.0,10.828427076339722,3.1622776601683795,3.1622776601683795,1.0
300.0,47.0,30.14213538169861,9.219544457292887,8.0,30.5,23.899494647979736,8.06225774829855,9.219544457292887,100.0,45.45584321022034,14.142135623730951,14.0,39.5,26.727921724319458,8.54400374531753,8.06225774829855,1.0
345.0,66.5,32.38477599620819,10.198039027185569,10.04987562112089,91.5,36.041630268096924,11.045361017187261,12.041594578792296,64.0,33.79898965358734,9.486832980505138,11.40175425099138,44.5,28.727921843528748,8.94427190999916,9.055385138137417,1.0
